"","faixa_etaria","uf","idade","analfabeto","trabalha","carteira_assinada","responsavel","ensino_medio","ocupacao","salario","motivo_indisp_14","motivo_indisp","horas_trabalho","ano","setor_privado","setor_domestico","setor_publico","setor_empregador","setor_conta_propria","setor_auxiliar_familiar","motivo_dependente","motivo_estudo","motivo_pcd","motivo_idade","motivo_vontade"
"1","menor",11,8.42540817618023,0.11325424474783,0.06806802707158,0.128654970760234,0.000980888495127199,0.000377247408567517,3.80775952464173,448.125515280739,2.36117488343471,NA,27.4816497728067,2014,0.333187696609577,0.0743621111499476,0.0108353722474659,0,0.196347430968193,0.385267389024816,1,1,1,1,1
"2","menor",12,8.15160982656933,0.204615310030542,0.036783166620173,0.196570728720147,0.00168661855771321,0,4.33354838709677,363.174377224199,2.39446522738541,NA,21.82,2014,0.21247311827957,0.10494623655914,0.0337634408602151,0,0.083010752688172,0.565806451612903,1,1,1,1,1
"3","menor",13,8.11636927851047,0.188834932206423,0.0535101322507013,0.105542558934677,0.000414996229418587,0.000527301235835478,4.20480320213476,419.489146855371,2.29291438319432,NA,27.0340893929286,2014,0.275150100066711,0.0839559706470981,0.0116077384923282,0,0.0487991994663109,0.580486991327552,1,1,1,1,1
"4","menor",14,8.11721500825968,0.162805964550314,0.0755029585798817,0.188841201716738,0.000473861908742094,0,3.77133188300701,462.02874251497,2.48137843316507,NA,26.3306744017404,2014,0.326323422770123,0.0693739424703892,0.0548706792361615,0,0.154943195552333,0.394488759970993,1,1,1,1,1
"5","menor",15,8.2375962604579,0.219380711428174,0.0674978721167435,0.0642043950225046,0.000444027678347694,0.000984288203676585,4.15667668107765,336.594536601469,2.42949950199203,NA,24.1239832930314,2014,0.302019979971178,0.0573019711291859,0.0096968808773601,0,0.0749248919176376,0.556056276104638,1,1,1,1,1
"6","menor",16,8.48355594855804,0.169288998717508,0.0582439511100025,0.13130081300813,0.00133026170863002,0.003039402754752,3.12509534706331,422.298358315489,2.46595031773541,NA,26.3595219933893,2014,0.425375031782354,0.0607678616831935,0.139333841851004,0,0.0869565217391304,0.287566742944317,1,1,1,1,1
"7","menor",17,8.22317409073137,0.167557090520767,0.108957580510136,0.0515821843071124,0.00261242035503579,0.00139504881127644,2.45148923621351,391.053078172955,2.44973825458883,NA,26.3984075493955,2014,0.522043644942495,0.174284871719257,0.0603804187555293,0,0.060011795930404,0.183279268652315,1,1,1,1,1
"8","menor",21,8.27609301995061,0.228361538795883,0.0766746024817315,0.0149321424833409,0.000683753573132384,0.00224409221438732,3.41212077924397,282.353235053235,2.45815291258804,NA,25.9589486277521,2014,0.386497151938289,0.115904505115797,0.00941021016731246,0,0.163544810099459,0.324643322679142,1,1,1,1,1
"9","menor",22,8.33636184251897,0.203789456236857,0.0744483101115865,0.0501618122977346,0.000342604619090883,0.000335939453942997,4.13726309026662,256.905055989141,2.49448432107392,NA,18.6999357532926,2014,0.286765178284613,0.0619659492451012,0.0284612913588179,0,0.0956633472534533,0.527144233858015,1,1,1,1,1
"10","menor",23,8.42796064644885,0.153781519675345,0.0563445816577666,0.0358165188857083,0.000629168239587266,0.00213314337157809,2.9403105333072,322.603757677948,2.49292498890368,NA,26.7502667624834,2014,0.468347814725289,0.126521634981817,0.0289410073822434,0.00875416476122036,0.107532501469916,0.259902876679515,1,1,1,1,1
"11","menor",24,8.29193003445105,0.244969334944484,0.063291923716161,0.0295782167645489,0.0015076490201943,0,3.37647645982366,305.224915172079,2.50234845914986,NA,25.4144069206455,2014,0.379138246547995,0.140187434148506,0,0,0.167082570842345,0.313591748461155,1,1,1,1,1
"12","menor",25,8.26442543201036,0.18271425709615,0.0818297911155706,0,0.000727662022811358,0.00100905428365802,3.77017029592406,272.958382558264,2.68207247919699,NA,19.1407384142937,2014,0.297075656058068,0.121824399776661,0.0116206030150754,0,0.222292015633724,0.347187325516471,1,1,1,1,1
"13","menor",26,8.44278092622967,0.158293450269017,0.0558845441907264,0.024787560382215,0.00094473181509004,0.00198996625128415,2.70116067682842,338.721169082693,2.32406644143663,NA,26.4878804829161,2014,0.548711135971659,0.065655153125437,0.0466368340092295,0,0.152752528783853,0.186244348109821,1,1,1,1,1
"14","menor",27,8.41878680848164,0.189663316576074,0.0435524566307568,0.168018383346851,0.000477082022025955,0.000809956888513178,3.70984964713102,351.840778923253,2.32776942767901,NA,24.2029456888616,2014,0.369683952132556,0.0534519791347039,0.0308683645289966,0,0.135317582080393,0.410678122123351,1,1,1,1,1
"15","menor",28,8.35678878064179,0.186781116247952,0.0606144807875516,0,0.00125802085970489,0.000242308319109335,3.75593968370725,257.291994671188,2.91898734177215,NA,21.7293858036043,2014,0.379992644354542,0.0389113644722324,0,0,0.188451636631114,0.392644354542111,1,1,1,1,1
"16","menor",29,8.37790128078407,0.172843773928575,0.0994688391316972,0.0604108720050749,0.000907789067497955,0.000603370943455475,3.59023634481166,329.944884798818,2.49166935614007,NA,24.7977177418754,2014,0.367894944619487,0.0723037846454083,0.0177351716535198,0,0.22786827854871,0.314197820532874,1,1,1,1,1
"17","menor",31,8.43433839350819,0.117633506134661,0.103554046244155,0.170198361654593,0.000786255779566738,0.000499236149605069,2.18930080890163,409.244892242511,2.37569596077815,NA,24.3599278005155,2014,0.662110869290707,0.100514755583947,0.00540010547661316,0,0.081885505879207,0.150088763769526,1,1,1,1,1
"18","menor",32,8.32636747436909,0.130036065960699,0.0768844063216766,0.234169376064406,0.000203160809036095,0.000637558682743316,3.06151277191082,468.286482489749,2.44906709646462,NA,26.8213286397689,2014,0.524957126094413,0.0511779041429732,0.0068598248939435,0,0.0884105063633902,0.32859463850528,1,1,1,1,1
