ANO_ELEICAO,NR_TURNO,CD_MUNICIPIO,SG_UF,DS_CARGO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS
2022,2,19,RO,Presidente,ELEITO,6838
2022,2,19,RO,Presidente,NÃO ELEITO,13001
2022,2,35,RO,Presidente,ELEITO,92636
2022,2,35,RO,Presidente,NÃO ELEITO,169299
2022,2,51,RO,Presidente,ELEITO,16711
2022,2,51,RO,Presidente,NÃO ELEITO,51415
2022,2,78,RO,Presidente,ELEITO,10513
2022,2,78,RO,Presidente,NÃO ELEITO,39901
2022,2,94,RO,Presidente,ELEITO,12437
2022,2,94,RO,Presidente,NÃO ELEITO,37980
2022,2,116,RO,Presidente,ELEITO,4927
2022,2,116,RO,Presidente,NÃO ELEITO,14932
2022,2,132,RO,Presidente,ELEITO,10994
2022,2,132,RO,Presidente,NÃO ELEITO,37718
2022,2,159,RO,Presidente,ELEITO,6813
2022,2,159,RO,Presidente,NÃO ELEITO,22611
2022,2,175,RO,Presidente,ELEITO,5872
2022,2,175,RO,Presidente,NÃO ELEITO,14631
2022,2,191,RO,Presidente,ELEITO,3009
2022,2,191,RO,Presidente,NÃO ELEITO,8252
2022,2,213,RO,Presidente,ELEITO,2425
2022,2,213,RO,Presidente,NÃO ELEITO,4220
2022,2,230,RO,Presidente,ELEITO,2606
2022,2,230,RO,Presidente,NÃO ELEITO,7253
2022,2,256,RO,Presidente,ELEITO,4212
2022,2,256,RO,Presidente,NÃO ELEITO,13595
2022,2,272,RO,Presidente,ELEITO,1990
2022,2,272,RO,Presidente,NÃO ELEITO,7854
2022,2,299,RO,Presidente,ELEITO,7669
2022,2,299,RO,Presidente,NÃO ELEITO,21868
2022,2,310,RO,Presidente,ELEITO,3959
2022,2,310,RO,Presidente,NÃO ELEITO,9768
2022,2,337,RO,Presidente,ELEITO,2933
2022,2,337,RO,Presidente,NÃO ELEITO,5306
2022,2,353,RO,Presidente,ELEITO,1652
2022,2,353,RO,Presidente,NÃO ELEITO,3184
2022,2,370,RO,Presidente,ELEITO,2854
2022,2,370,RO,Presidente,NÃO ELEITO,7457
2022,2,396,RO,Presidente,ELEITO,4750
2022,2,396,RO,Presidente,NÃO ELEITO,11490
2022,2,418,RO,Presidente,ELEITO,3998
2022,2,418,RO,Presidente,NÃO ELEITO,8564
2022,2,434,RO,Presidente,ELEITO,2897
2022,2,434,RO,Presidente,NÃO ELEITO,10226
2022,2,450,RO,Presidente,ELEITO,1106
2022,2,450,RO,Presidente,NÃO ELEITO,2405
2022,2,477,RO,Presidente,ELEITO,4887
2022,2,477,RO,Presidente,NÃO ELEITO,8101
2022,2,493,RO,Presidente,ELEITO,1642
2022,2,493,RO,Presidente,NÃO ELEITO,2736
2022,2,515,RO,Presidente,ELEITO,1849
2022,2,515,RO,Presidente,NÃO ELEITO,3422
